                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.235,                0.97627,                 1.1557,                0.90952,                0.73293,                0.83539,                0.44309,                 1.8188,                 1.0095,                 1.2873,              0.0097773,              0.0097773,              0.0097773
                     47,                 1.2059,                0.97357,                 1.1404,                0.90933,                0.73546,                0.83046,                0.44242,                 1.8387,                0.99941,                 1.2863,              0.0097723,              0.0097723,              0.0097723
                     48,                 1.1649,                0.90855,                 1.1137,                0.91569,                0.75118,                0.84722,                0.48041,                 1.6932,                0.97428,                 1.2368,              0.0097674,              0.0097674,              0.0097674
                     49,                 1.2018,                0.94374,                 1.1189,                0.92316,                0.74584,                0.84629,                0.46919,                 1.7297,                0.98953,                 1.2357,              0.0097624,              0.0097624,              0.0097624
                     50,                 1.1501,                0.90488,                 1.1073,                0.92565,                0.75042,                0.85416,                0.50397,                 1.6015,                0.95189,                  1.184,              0.0097575,              0.0097575,              0.0097575
                     51,                 1.1297,                0.92184,                 1.0897,                0.90954,                  0.725,                0.83014,                0.40538,                 1.9553,                 1.0346,                 1.2875,              0.0097525,              0.0097525,              0.0097525
                     52,                 1.1258,                 0.9002,                 1.0807,                0.92788,                  0.765,                0.86195,                0.50566,                 1.6427,                0.93077,                 1.1807,              0.0097476,              0.0097476,              0.0097476
                     53,                 1.1205,                0.89655,                 1.0864,                0.92244,                0.75333,                0.85317,                0.45552,                 1.8297,                0.96939,                 1.2281,              0.0097426,              0.0097426,              0.0097426
                     54,                 1.1319,                0.91124,                  1.088,                0.93211,                0.73604,                0.84926,                0.47315,                 1.7451,                0.96631,                 1.1964,              0.0097377,              0.0097377,              0.0097377
                     55,                 1.0897,                0.86621,                 1.0679,                0.91416,                0.76987,                0.86071,                0.51759,                 1.5614,                0.98999,                  1.147,              0.0097327,              0.0097327,              0.0097327
                     56,                 1.0718,                0.88211,                 1.0621,                0.93051,                0.76715,                0.86581,                 0.5225,                 1.5618,                0.89916,                 1.1371,              0.0097278,              0.0097278,              0.0097278
                     57,                 1.0593,                0.85826,                 1.0523,                0.92661,                   0.77,                0.86567,                0.48358,                 1.7273,                0.93754,                   1.18,              0.0097228,              0.0097228,              0.0097228
                     58,                 1.0551,                0.85444,                 1.0567,                 0.9342,                0.77583,                0.87317,                 0.5492,                 1.4626,                0.85237,                 1.1082,              0.0097179,              0.0097179,              0.0097179
                     59,                 1.0302,                0.85013,                 1.0414,                0.93183,                0.78625,                0.87801,                 0.5093,                 1.6444,                0.91237,                 1.1431,              0.0097129,              0.0097129,              0.0097129
                     60,                 1.0164,                0.84338,                 1.0323,                0.93521,                0.77187,                0.87335,                0.55762,                 1.4334,                 0.8679,                 1.0858,               0.009708,               0.009708,               0.009708
                     61,                 1.0201,                0.84839,                 1.0274,                0.93227,                0.77229,                0.87135,                0.48532,                 1.7475,                0.93682,                 1.1575,               0.009703,               0.009703,               0.009703
                     62,                 1.0057,                0.80858,                 1.0254,                0.95519,                0.78155,                0.88781,                0.51469,                 1.6173,                 0.8442,                 1.1215,               0.009698,               0.009698,               0.009698
                     63,                0.98397,                0.81218,                 1.0148,                0.94814,                0.77375,                0.88159,                0.55092,                 1.4908,                0.84854,                 1.0858,              0.0096931,              0.0096931,              0.0096931
